rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
13,9780812994995,7,15,2015-01-10,combined-print-and-e-book-nonfiction,6
14,9780465065684,0,1,2015-01-10,combined-print-and-e-book-nonfiction,14
15,9780544272996,10,16,2015-01-10,combined-print-and-e-book-nonfiction,5
16,9781451654707,0,0,2015-01-10,combined-print-and-e-book-nonfiction,16
17,9781493009220,0,0,2015-01-10,combined-print-and-e-book-nonfiction,17
18,9780553447781,0,0,2015-01-10,combined-print-and-e-book-nonfiction,18
19,9780374280604,0,0,2015-01-10,combined-print-and-e-book-nonfiction,19
20,9780553380163,0,0,2015-01-10,combined-print-and-e-book-nonfiction,20
1,9780062082374,2,48,2015-01-17,combined-print-and-e-book-nonfiction,-1
2,9780679603757,1,188,2015-01-17,combined-print-and-e-book-nonfiction,1
3,9780307957658,3,96,2015-01-17,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,35,2015-01-17,combined-print-and-e-book-nonfiction,0
5,9781400205844,0,1,2015-01-17,combined-print-and-e-book-nonfiction,5
6,9780062268341,6,12,2015-01-17,combined-print-and-e-book-nonfiction,0
7,9780805096682,7,17,2015-01-17,combined-print-and-e-book-nonfiction,0
8,9780805095159,8,15,2015-01-17,combined-print-and-e-book-nonfiction,0
9,9780812996951,10,2,2015-01-17,combined-print-and-e-book-nonfiction,-1
10,9781451654707,0,1,2015-01-17,combined-print-and-e-book-nonfiction,10
11,9780770433260,9,2,2015-01-17,combined-print-and-e-book-nonfiction,2
12,9780812994995,13,16,2015-01-17,combined-print-and-e-book-nonfiction,-1
13,9780691164724,0,2,2015-01-17,combined-print-and-e-book-nonfiction,13
14,9780307589385,5,80,2015-01-17,combined-print-and-e-book-nonfiction,9
15,9780307587848,0,1,2015-01-17,combined-print-and-e-book-nonfiction,15
16,9780316007542,0,0,2015-01-17,combined-print-and-e-book-nonfiction,16
17,9780544272996,0,0,2015-01-17,combined-print-and-e-book-nonfiction,17
18,9780553447781,0,0,2015-01-17,combined-print-and-e-book-nonfiction,18
19,9780307352156,0,0,2015-01-17,combined-print-and-e-book-nonfiction,19
20,9780316017930,0,0,2015-01-17,combined-print-and-e-book-nonfiction,20
1,9780062082374,1,49,2015-01-24,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,189,2015-01-24,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,97,2015-01-24,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,36,2015-01-24,combined-print-and-e-book-nonfiction,0
5,9780767928427,0,1,2015-01-24,combined-print-and-e-book-nonfiction,5
6,9780805095159,8,16,2015-01-24,combined-print-and-e-book-nonfiction,-2
7,9780062268341,6,13,2015-01-24,combined-print-and-e-book-nonfiction,1
8,9780805096682,7,18,2015-01-24,combined-print-and-e-book-nonfiction,1
9,9781250060990,0,1,2015-01-24,combined-print-and-e-book-nonfiction,9
10,9780316007542,0,27,2015-01-24,combined-print-and-e-book-nonfiction,10
11,9781451654707,10,2,2015-01-24,combined-print-and-e-book-nonfiction,1
12,9780307589385,14,81,2015-01-24,combined-print-and-e-book-nonfiction,-2
13,9780374280604,0,4,2015-01-24,combined-print-and-e-book-nonfiction,13
14,9780698145610,0,1,2015-01-24,combined-print-and-e-book-nonfiction,14
15,9781400865123,13,3,2015-01-24,combined-print-and-e-book-nonfiction,2
16,9780812994995,0,0,2015-01-24,combined-print-and-e-book-nonfiction,16
17,9780812981605,0,0,2015-01-24,combined-print-and-e-book-nonfiction,17
18,9780316278232,0,0,2015-01-24,combined-print-and-e-book-nonfiction,18
19,9780770433260,0,0,2015-01-24,combined-print-and-e-book-nonfiction,19
20,9781400205844,0,0,2015-01-24,combined-print-and-e-book-nonfiction,20
1,9780062082374,1,50,2015-01-31,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,190,2015-01-31,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,98,2015-01-31,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,37,2015-01-31,combined-print-and-e-book-nonfiction,0
5,9780805095159,6,17,2015-01-31,combined-print-and-e-book-nonfiction,-1
6,9781453203927,0,1,2015-01-31,combined-print-and-e-book-nonfiction,6
7,9781400205844,0,2,2015-01-31,combined-print-and-e-book-nonfiction,7
8,9781466844070,0,1,2015-01-31,combined-print-and-e-book-nonfiction,8
9,9780062268341,7,14,2015-01-31,combined-print-and-e-book-nonfiction,2
10,9780805096699,8,19,2015-01-31,combined-print-and-e-book-nonfiction,2
11,9781451654707,11,3,2015-01-31,combined-print-and-e-book-nonfiction,0
12,9780984504176,0,1,2015-01-31,combined-print-and-e-book-nonfiction,12
13,9780385530002,0,1,2015-01-31,combined-print-and-e-book-nonfiction,13
14,9780307538260,0,1,2015-01-31,combined-print-and-e-book-nonfiction,14
15,9780316007542,10,28,2015-01-31,combined-print-and-e-book-nonfiction,5
16,9781628720242,0,0,2015-01-31,combined-print-and-e-book-nonfiction,16
17,9781250060990,0,0,2015-01-31,combined-print-and-e-book-nonfiction,17
18,9780061981364,0,0,2015-01-31,combined-print-and-e-book-nonfiction,18
19,9780307589385,0,0,2015-01-31,combined-print-and-e-book-nonfiction,19
20,9780062297129,0,0,2015-01-31,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,51,2015-02-07,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,191,2015-02-07,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,99,2015-02-07,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,38,2015-02-07,combined-print-and-e-book-nonfiction,0
5,9781400205837,7,3,2015-02-07,combined-print-and-e-book-nonfiction,-2
6,9780805096682,10,20,2015-02-07,combined-print-and-e-book-nonfiction,-4
7,9780805095159,5,18,2015-02-07,combined-print-and-e-book-nonfiction,2
8,9780062268341,9,15,2015-02-07,combined-print-and-e-book-nonfiction,-1
9,9780316007542,15,29,2015-02-07,combined-print-and-e-book-nonfiction,-6
10,9781594205866,0,2,2015-02-07,combined-print-and-e-book-nonfiction,10
11,9780385529983,13,2,2015-02-07,combined-print-and-e-book-nonfiction,-2
12,9781250045447,8,2,2015-02-07,combined-print-and-e-book-nonfiction,4
13,9781400865123,0,4,2015-02-07,combined-print-and-e-book-nonfiction,13
14,9780307589385,0,82,2015-02-07,combined-print-and-e-book-nonfiction,14
15,9780544272996,0,17,2015-02-07,combined-print-and-e-book-nonfiction,15
16,9780307790514,0,0,2015-02-07,combined-print-and-e-book-nonfiction,16
17,9780307795298,0,0,2015-02-07,combined-print-and-e-book-nonfiction,17
18,9780812981605,0,0,2015-02-07,combined-print-and-e-book-nonfiction,18
19,9780345493811,0,0,2015-02-07,combined-print-and-e-book-nonfiction,19
20,9780812994995,0,0,2015-02-07,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,52,2015-02-14,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,192,2015-02-14,combined-print-and-e-book-nonfiction,0
3,9781101622742,4,39,2015-02-14,combined-print-and-e-book-nonfiction,-1
4,9780307957658,3,100,2015-02-14,combined-print-and-e-book-nonfiction,1
5,9780805095159,7,19,2015-02-14,combined-print-and-e-book-nonfiction,-2
6,9780805096682,6,21,2015-02-14,combined-print-and-e-book-nonfiction,0
7,9780770435639,0,2,2015-02-14,combined-print-and-e-book-nonfiction,7
8,9781594205873,0,1,2015-02-14,combined-print-and-e-book-nonfiction,8
9,9781400205837,5,4,2015-02-14,combined-print-and-e-book-nonfiction,4
10,9780062268341,8,16,2015-02-14,combined-print-and-e-book-nonfiction,2
11,9780062316097,0,1,2015-02-14,combined-print-and-e-book-nonfiction,11
12,9780316007542,9,30,2015-02-14,combined-print-and-e-book-nonfiction,3
13,9780062323217,0,2,2015-02-14,combined-print-and-e-book-nonfiction,13
14,9780062242730,0,5,2015-02-14,combined-print-and-e-book-nonfiction,14
15,9781594205866,10,3,2015-02-14,combined-print-and-e-book-nonfiction,5
16,9780544272996,0,0,2015-02-14,combined-print-and-e-book-nonfiction,16
17,9780385530002,0,0,2015-02-14,combined-print-and-e-book-nonfiction,17
18,9780345518576,0,0,2015-02-14,combined-print-and-e-book-nonfiction,18
19,9780691164724,0,0,2015-02-14,combined-print-and-e-book-nonfiction,19
